time,x,y,z,roll,pitch,yaw,vx,vy,vz,ax,ay,az
1.5600,36.2071,-18.1036,2685.3954,0.000000,0.020705,-0.006902,-8.3331,4.1666,-203.4239,0.6613,-0.3307,-2.0960
1.5800,36.0407,-18.0204,2681.3261,0.000000,0.020636,-0.006879,-8.3199,4.1599,-203.4658,0.6614,-0.3307,-2.0891
1.6000,35.8746,-17.9373,2677.2560,0.000000,0.020567,-0.006856,-8.3067,4.1533,-203.5076,0.6614,-0.3307,-2.0823
1.6200,35.7087,-17.8544,2673.1850,0.000000,0.020499,-0.006833,-8.2934,4.1467,-203.5493,0.6614,-0.3307,-2.0755
1.6400,35.5431,-17.7715,2669.1132,0.000000,0.020430,-0.006810,-8.2802,4.1401,-203.5908,0.6614,-0.3307,-2.0686
1.6600,35.3778,-17.6889,2665.0405,0.000000,0.020362,-0.006787,-8.2670,4.1335,-203.6321,0.6614,-0.3307,-2.0618
1.6800,35.2127,-17.6063,2660.9671,0.000000,0.020295,-0.006765,-8.2538,4.1269,-203.6734,0.6614,-0.3307,-2.0550
1.7000,35.0479,-17.5239,2656.8928,0.000000,0.020227,-0.006742,-8.2405,4.1203,-203.7145,0.6615,-0.3307,-2.0481
1.7200,34.8833,-17.4417,2652.8177,0.000000,0.020160,-0.006720,-8.2273,4.1136,-203.7554,0.6615,-0.3307,-2.0413
1.7400,34.7190,-17.3595,2648.7417,0.000000,0.020093,-0.006698,-8.2141,4.1070,-203.7963,0.6615,-0.3307,-2.0345
1.7600,34.5550,-17.2775,2644.6650,0.000000,0.020026,-0.006675,-8.2008,4.1004,-203.8370,0.6615,-0.3307,-2.0277
1.7800,34.3913,-17.1956,2640.5874,0.000000,0.019959,-0.006653,-8.1876,4.0938,-203.8775,0.6615,-0.3307,-2.0209
1.8000,34.2278,-17.1139,2636.5091,0.000000,0.019893,-0.006631,-8.1744,4.0872,-203.9179,0.6615,-0.3308,-2.0141
1.8200,34.0646,-17.0323,2632.4299,0.000000,0.019827,-0.006609,-8.1611,4.0806,-203.9582,0.6615,-0.3308,-2.0073
1.8400,33.9016,-16.9508,2628.3500,0.000000,0.019761,-0.006587,-8.1479,4.0740,-203.9984,0.6615,-0.3308,-2.0005
1.8600,33.7389,-16.8695,2624.2692,0.000000,0.019695,-0.006565,-8.1347,4.0673,-204.0384,0.6615,-0.3308,-1.9937
1.8800,33.5765,-16.7882,2620.1876,0.000000,0.019629,-0.006543,-8.1215,4.0607,-204.0782,0.6615,-0.3308,-1.9870
1.9000,33.4143,-16.7072,2616.1053,0.000000,0.019564,-0.006521,-8.1082,4.0541,-204.1180,0.6615,-0.3308,-1.9802
1.9200,33.2524,-16.6262,2612.0221,0.000000,0.019499,-0.006500,-8.0950,4.0475,-204.1576,0.6615,-0.3308,-1.9734
1.9400,33.0908,-16.5454,2607.9382,0.000000,0.019434,-0.006478,-8.0818,4.0409,-204.1971,0.6615,-0.3308,-1.9666
1.9600,32.9294,-16.4647,2603.8534,0.000000,0.019369,-0.006456,-8.0685,4.0343,-204.2364,0.6615,-0.3308,-1.9599
1.9800,32.7683,-16.3842,2599.7679,0.000000,0.019305,-0.006435,-8.0553,4.0277,-204.2756,0.6615,-0.3308,-1.9531
2.0000,32.6075,-16.3037,2595.6816,0.000000,0.019241,-0.006414,-8.0421,4.0210,-204.3147,0.6615,-0.3308,-1.9463
2.0200,32.4469,-16.2234,2591.5946,0.000000,0.019177,-0.006392,-8.0288,4.0144,-204.3536,0.6615,-0.3308,-1.9396
2.0400,32.2866,-16.1433,2587.5067,0.000000,0.019113,-0.006371,-8.0156,4.0078,-204.3924,0.6615,-0.3308,-1.9328
2.0600,32.1265,-16.0633,2583.4181,0.000000,0.019049,-0.006350,-8.0024,4.0012,-204.4310,0.6615,-0.3308,-1.9261
2.0800,31.9667,-15.9834,2579.3287,0.000000,0.018986,-0.006329,-7.9891,3.9946,-204.4695,0.6615,-0.3308,-1.9194
2.1000,31.8072,-15.9036,2575.2385,0.000000,0.018923,-0.006308,-7.9759,3.9880,-204.5079,0.6615,-0.3308,-1.9126
2.1200,31.6480,-15.8240,2571.1476,0.000000,0.018860,-0.006287,-7.9627,3.9813,-204.5462,0.6615,-0.3308,-1.9059
2.1400,31.4890,-15.7445,2567.0559,0.000000,0.018797,-0.006266,-7.9495,3.9747,-204.5843,0.6615,-0.3308,-1.8992
2.1600,31.3303,-15.6651,2562.9635,0.000000,0.018734,-0.006245,-7.9362,3.9681,-204.6223,0.6615,-0.3307,-1.8925
2.1800,31.1718,-15.5859,2558.8703,0.000000,0.018672,-0.006224,-7.9230,3.9615,-204.6601,0.6615,-0.3307,-1.8857
2.2000,31.0136,-15.5068,2554.7763,0.000000,0.018610,-0.006203,-7.9098,3.9549,-204.6979,0.6615,-0.3307,-1.8790
2.2200,30.8557,-15.4278,2550.6816,0.000000,0.018548,-0.006183,-7.8965,3.9483,-204.7354,0.6615,-0.3307,-1.8723
2.2400,30.6980,-15.3490,2546.5862,0.000000,0.018486,-0.006162,-7.8833,3.9417,-204.7729,0.6615,-0.3307,-1.8656
2.2600,30.5406,-15.2703,2542.4900,0.000000,0.018425,-0.006142,-7.8701,3.9350,-204.8102,0.6614,-0.3307,-1.8589
2.2800,30.3835,-15.1917,2538.3930,0.000000,0.018363,-0.006121,-7.8569,3.9284,-204.8474,0.6614,-0.3307,-1.8522
2.3000,30.2266,-15.1133,2534.2953,0.000000,0.018302,-0.006101,-7.8436,3.9218,-204.8844,0.6614,-0.3307,-1.8455
