epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,1297.95,0.08672,0.06426,0.012,0.09208,0.75657,1,1,0.995,0.99157,1,1,0.995,0.995,0.08709,0.14343,0.00483,0.08549,0.75229,0.0003169,0.0003169,0.0003169
71,1318.62,0.08601,0.06082,0.01206,0.09198,0.76261,0.99995,1,0.995,0.99429,0.99995,1,0.995,0.995,0.08596,0.14994,0.00468,0.08628,0.7534,0.000307,0.000307,0.000307
72,1339.02,0.08408,0.05868,0.01252,0.08946,0.75979,0.99995,1,0.995,0.99053,0.99995,1,0.995,0.995,0.08843,0.14347,0.00472,0.09004,0.75275,0.0002971,0.0002971,0.0002971
73,1359.51,0.07833,0.05306,0.01124,0.0854,0.75557,0.99995,1,0.995,0.99086,0.99995,1,0.995,0.995,0.08411,0.14227,0.00471,0.09323,0.75219,0.0002872,0.0002872,0.0002872
74,1379.94,0.08134,0.06086,0.01257,0.08964,0.75299,0.99996,1,0.995,0.9892,0.99996,1,0.995,0.995,0.09591,0.14555,0.00462,0.09571,0.75187,0.0002773,0.0002773,0.0002773
75,1401.06,0.08371,0.0484,0.0128,0.09162,0.75728,0.99995,1,0.995,0.99039,0.99995,1,0.995,0.995,0.09184,0.14521,0.00445,0.08817,0.75241,0.0002674,0.0002674,0.0002674
76,1421.53,0.08894,0.06088,0.01196,0.09194,0.76039,1,1,0.995,0.99226,1,1,0.995,0.995,0.08924,0.14718,0.00453,0.08881,0.75238,0.0002575,0.0002575,0.0002575
77,1441.91,0.08322,0.05073,0.01087,0.09006,0.758,0.99996,1,0.995,0.99335,0.99996,1,0.995,0.995,0.07991,0.14552,0.0042,0.08677,0.75193,0.0002476,0.0002476,0.0002476
78,1463.27,0.07908,0.06056,0.0111,0.08652,0.75354,0.99996,1,0.995,0.99269,0.99996,1,0.995,0.995,0.08192,0.13981,0.00428,0.08178,0.75139,0.0002377,0.0002377,0.0002377
79,1483.48,0.07826,0.0602,0.01111,0.08459,0.75863,0.99996,1,0.995,0.99442,0.99996,1,0.995,0.995,0.07078,0.14023,0.00422,0.07878,0.75132,0.0002278,0.0002278,0.0002278
80,1504.19,0.07598,0.05742,0.01155,0.08402,0.76014,0.99996,1,0.995,0.99469,0.99996,1,0.995,0.995,0.0658,0.14157,0.00394,0.07492,0.75153,0.0002179,0.0002179,0.0002179
81,1524.7,0.07358,0.05524,0.01101,0.08028,0.7608,1,1,0.995,0.99489,1,1,0.995,0.995,0.07063,0.14,0.00378,0.07929,0.7512,0.000208,0.000208,0.000208
82,1545.56,0.06707,0.04982,0.00992,0.07623,0.75969,0.99996,1,0.995,0.99291,0.99996,1,0.995,0.995,0.06577,0.13965,0.00378,0.07083,0.75017,0.0001981,0.0001981,0.0001981
83,1566.24,0.06875,0.05616,0.01291,0.07661,0.75972,0.99995,1,0.995,0.99489,0.99995,1,0.995,0.995,0.06766,0.14038,0.00399,0.07875,0.75006,0.0001882,0.0001882,0.0001882
84,1585.28,0.0679,0.05338,0.00889,0.07525,0.75389,0.99995,1,0.995,0.9935,0.99995,1,0.995,0.995,0.06881,0.13905,0.00363,0.07281,0.75001,0.0001783,0.0001783,0.0001783
85,1606.17,0.06701,0.04406,0.00897,0.07548,0.76134,0.99996,1,0.995,0.99255,0.99996,1,0.995,0.995,0.0674,0.13932,0.00345,0.07082,0.75025,0.0001684,0.0001684,0.0001684
86,1626.71,0.06645,0.04938,0.00979,0.075,0.75977,1,1,0.995,0.99365,1,1,0.995,0.995,0.06559,0.14101,0.00327,0.07272,0.74977,0.0001585,0.0001585,0.0001585
87,1648.34,0.06694,0.05391,0.00974,0.07577,0.7593,0.99996,1,0.995,0.99465,0.99996,1,0.995,0.995,0.06654,0.13994,0.00356,0.07317,0.75023,0.0001486,0.0001486,0.0001486
88,1668.82,0.06335,0.05421,0.0105,0.07311,0.75735,1,1,0.995,0.99214,1,1,0.995,0.995,0.06827,0.14193,0.00326,0.072,0.75095,0.0001387,0.0001387,0.0001387
89,1689.58,0.05937,0.05013,0.01038,0.06944,0.75589,0.99996,1,0.995,0.99485,0.99996,1,0.995,0.995,0.06029,0.13935,0.0035,0.0669,0.75115,0.0001288,0.0001288,0.0001288
90,1710.24,0.05799,0.05491,0.00901,0.06859,0.75401,1,1,0.995,0.99296,1,1,0.995,0.995,0.06856,0.13978,0.00316,0.06768,0.75056,0.0001189,0.0001189,0.0001189
91,1737.15,0.06183,0.05341,0.00829,0.06985,0.75947,0.99995,1,0.995,0.99286,0.99995,1,0.995,0.995,0.06826,0.14036,0.00277,0.06646,0.75052,0.000109,0.000109,0.000109
92,1758.1,0.05816,0.0529,0.01006,0.06682,0.75702,0.99995,1,0.995,0.99488,0.99995,1,0.995,0.995,0.0657,0.13949,0.00288,0.06674,0.75088,9.91e-05,9.91e-05,9.91e-05
93,1779.04,0.05713,0.05685,0.01012,0.06633,0.75995,0.99996,1,0.995,0.99301,0.99996,1,0.995,0.995,0.06729,0.13892,0.00284,0.06484,0.75029,8.92e-05,8.92e-05,8.92e-05
94,1799.54,0.05444,0.04913,0.0083,0.06436,0.76081,0.99996,1,0.995,0.99309,0.99996,1,0.995,0.995,0.06726,0.13801,0.00267,0.06444,0.75016,7.93e-05,7.93e-05,7.93e-05
95,1820.23,0.05386,0.05136,0.00864,0.06136,0.7613,0.99995,1,0.995,0.99446,0.99995,1,0.995,0.995,0.06244,0.13745,0.0026,0.06055,0.75012,6.94e-05,6.94e-05,6.94e-05
96,1841.07,0.05154,0.0487,0.00839,0.06038,0.75598,0.99996,1,0.995,0.99442,0.99996,1,0.995,0.995,0.05825,0.13788,0.00254,0.06257,0.7503,5.95e-05,5.95e-05,5.95e-05
97,1861.49,0.04968,0.04701,0.00885,0.05907,0.75773,0.99996,1,0.995,0.99453,0.99996,1,0.995,0.995,0.05883,0.13779,0.00258,0.06068,0.75023,4.96e-05,4.96e-05,4.96e-05
98,1881.49,0.04823,0.05254,0.00909,0.05724,0.75281,0.99995,1,0.995,0.99489,0.99995,1,0.995,0.995,0.05897,0.13726,0.00257,0.06032,0.75027,3.97e-05,3.97e-05,3.97e-05
99,1902.08,0.04494,0.04904,0.00852,0.05456,0.75971,0.99995,1,0.995,0.99489,0.99995,1,0.995,0.995,0.05394,0.13665,0.00248,0.05678,0.75034,2.98e-05,2.98e-05,2.98e-05
100,1922.75,0.04401,0.0475,0.00798,0.05367,0.76071,0.99996,1,0.995,0.99484,0.99996,1,0.995,0.995,0.05233,0.13645,0.00262,0.05578,0.75046,1.99e-05,1.99e-05,1.99e-05
